Stock-ticker,Company Name,Sector,Mkt Cap,Added
A,Agilent Technologies,Life Sciences Tools & Services,43.69B,No
AA,Alcoa,Metals & Mining,11.49B,No
AAL,American Airlines Group,Airlines,11.97B,No
AAP,Advance Auto Parts,Specialty Retail,14.94B,No
AAPL,Apple,"Technology Hardware, Storage & Periph...","2,826.99B",Yes
ABB,ABB Ltd,Electrical Equipment,74.44B,No
ABBV,AbbVie,Biotechnology,240.20B,No
ABC,AmerisourceBergen,Health Care Providers & Services,28.35B,No
ABEV,Ambev,Beverages,43.28B,No
ABMD,Abiomed,Health Care Equipment & Supplies,13.70B,No
ABNB,Airbnb,"Hotels, Restaurants & Leisure",104.20B,No
ABT,Abbott Laboratories,Health Care Equipment & Supplies,226.62B,No
ACGL,Arch Capital Group,Insurance,18.31B,No
ACH,Aluminum Corporation of China,Metals & Mining,14.49B,No
ACI,Albertsons Companies,Grocery Stores,14.95B,No
ACM,AECOM,Construction & Engineering,10.50B,No
ACN,Accenture,IT Services,223.50B,No
ADBE,Adobe,Software,247.70B,No
ADI,Analog Devices,Semiconductors & Semiconductor Equipment,90.36B,No
ADM,Archer-Daniels-Midland Company,Food Products,40.03B,No
ADP,Automatic Data Processing,IT Services,96.39B,No
ADSK,Autodesk,Software,57.00B,No
AEE,Ameren,Multi-Utilities,22.69B,No
AEG,Aegon,Insurance,11.75B,No
AEM,Agnico Eagle Mines,Metals & Mining,12.63B,No
AEP,American Electric Power Company,Electric Utilities,45.16B,No
AER,AerCap Holdings,Trading Companies & Distributors,16.74B,No
AES,The AES Corporation,Independent Power and Renewable Elect...,15.37B,No
AFG,American Financial Group,Insurance,11.50B,No
AFL,Aflac,Insurance,42.38B,No
AFRM,Affirm Holdings,IT Services,19.44B,No
AGCO,AGCO Corporation,Machinery,9.43B,No
AGR,Avangrid,Electric Utilities,18.60B,No
AIG,American International Group,Insurance,51.40B,No
AIRC,Apartment Income REIT,Equity Real Estate Investment Trusts...,8.56B,No
AIZ,Assurant,Insurance,8.83B,No
AJG,Arthur J. Gallagher & Company,Insurance,32.69B,No
AKAM,Akamai Technologies,IT Services,18.30B,No
ALB,Albemarle,Chemicals,27.33B,No
ALC,Alcon,Medical Instruments & Supplies,38.52B,No
ALGN,Align Technology,Health Care Equipment & Supplies,41.37B,No
ALL,The Allstate Corporation,Insurance,35.57B,No
ALLE,Allegion,Building Products,11.16B,No
ALLY,Ally Financial,Consumer Finance,18.24B,No
ALNY,Alnylam Pharmaceuticals,Biotechnology,17.76B,No
ALV,Autoliv,Auto Components,9.45B,No
AMAT,Applied Materials,Semiconductors & Semiconductor Equipment,148.38B,No
AMC,AMC Entertainment Holdings,Entertainment,10.56B,No
AMCR,Amcor,Containers & Packaging,18.97B,No
AMD,Advanced Micro Devices,Semiconductors & Semiconductor Equipment,165.30B,No
AME,AMETEK,Electrical Equipment,32.74B,No
AMGN,Amgen,Biotechnology,132.57B,No
AMH,American Homes 4 Rent,Equity Real Estate Investment Trusts...,13.96B,No
AMOV,America Movil,Wireless Telecommunication Services,65.72B,No
AMP,Ameriprise Financial,Capital Markets,36.76B,No
AMT,American Tower,Equity Real Estate Investment Trusts...,114.14B,No
AMX,America Movil,Wireless Telecommunication Services,66.01B,No
AMZN,Amazon.com,Internet & Direct Marketing Retail,"1,644.56B",No
ANET,Arista Networks,Communications Equipment,39.87B,No
ANSS,ANSYS,Software,30.41B,No
ANTM,Anthem,Health Care Providers & Services,109.74B,No
AON,Aon plc,Insurance,60.25B,No
AOS,A. O. Smith,Building Products,12.82B,No
APA,APA Corporation,"Oil, Gas & Consumable Fuels",12.09B,No
APD,Air Products & Chemicals,Chemicals,64.59B,No
APH,Amphenol,"Electronic Equipment, Instruments & C...",48.81B,No
APO,Apollo Global Management,Capital Markets,41.30B,No
APP,AppLovin,Software-Application,29.57B,No
APTV,Aptiv,Auto Components,41.28B,No
AQN,Algonquin Power & Utilities,Multi-Utilities,9.32B,No
ARCC,Ares Capital,Capital Markets,10.02B,No
ARE,Alexandria Real Estate Equities,Equity Real Estate Investment Trusts...,33.62B,No
ARES,Ares Management,Capital Markets,13.20B,No
ARGX,Argenx SE,Biotechnology,15.02B,No
ARMK,Aramark,"Hotels, Restaurants & Leisure",9.38B,No
ARW,Arrow Electronics,"Electronic Equipment, Instruments & C...",9.40B,No
ASAN,Asana,Software,11.22B,No
ASML,ASML Holding,Semiconductors & Semiconductor Equipment,302.63B,No
ASX,ASE Technology Holding Company,Semiconductors & Semiconductor Equipment,16.94B,No
ATO,Atmos Energy,Gas Utilities,14.07B,No
ATVI,Activision Blizzard,Entertainment,50.93B,No
AU,AngloGold Ashanti,Metals & Mining,8.36B,No
AVB,AvalonBay Communities,Equity Real Estate Investment Trusts...,34.75B,No
AVGO,Broadcom,Semiconductors & Semiconductor Equipment,246.23B,No
AVLR,Avalara,Software,9.51B,No
AVTR,Avantor,Life Sciences Tools & Services,22.98B,No
AVY,Avery Dennison,Containers & Packaging,17.31B,No
AWK,American Water Works Company,Water Utilities,29.69B,No
AXON,Axon Enterprise,Aerospace & Defense,9.39B,No
AXP,American Express Company,Consumer Finance,130.44B,No
AZN,AstraZeneca,Pharmaceuticals,182.36B,No
AZO,AutoZone,Specialty Retail,41.96B,No
AZPN,Aspen Technology,Software,10.43B,No
BA,The Boeing Company,Aerospace & Defense,132.80B,No
BABA,Alibaba Group Holding,Internet & Direct Marketing Retail,360.06B,No
BAC,Bank of America,Banks,392.10B,No
BAH,Booz Allen Hamilton Holding,IT Services,11.91B,No
BAM,Brookfield Asset Management,Capital Markets,89.84B,No
BAP,Credicorp,Banks,11.53B,No
BAX,Baxter International,Health Care Equipment & Supplies,42.93B,No
BBD,Banco Bradesco,Banks,36.53B,No
BBL,BHP Group,Metals & Mining,167.09B,No
BBVA,Banco Bilbao Vizcaya Argentaria,Banks,43.31B,No
BBWI,Bath & Body Works,Specialty Retail,14.39B,No
BBY,Best Buy Co.,Specialty Retail,24.07B,No
BCE,"BCE, Inc.",Diversified Telecommunication Services,48.28B,No
BCH,Banco de Chile,Banks,9.32B,No
BCS,Barclays,Banks,50.63B,No
BDX,"Becton, Dickinson and Company",Health Care Equipment & Supplies,74.86B,No
BEKE,KE Holdings,Real Estate Management & Development,25.01B,No
BEN,Franklin Resources,Capital Markets,17.72B,No
BEP,Brookfield Renewable Partners,Independent Power and Renewable Elect...,9.03B,No
BERY,Berry Global Group,Containers & Packaging,9.80B,No
BF.A,Brown-Forman,Beverages,31.64B,No
BF.B,Brown-Forman,Beverages,31.64B,No
BG,Bunge,Food Products,13.87B,No
BGNE,BeiGene,Biotechnology,24.70B,No
BHC,Bausch Health Companies,Pharmaceuticals,9.75B,No
BHP,BHP Group,Metals & Mining,172.06B,No
BIDU,Baidu,Interactive Media & Services,53.79B,No
BIIB,Biogen,Biotechnology,35.15B,No
BILI,Bilibili,Entertainment,14.81B,No
BILL,Bill.com Holdings,Software,18.57B,No
BIO,Bio-Rad Laboratories,Life Sciences Tools & Services,18.78B,No
BIP,Brookfield Infrastructure Partners LP,Multi-Utilities,18.26B,No
BJ,BJ's Wholesale Club Holdings,Food & Staples Retailing,8.27B,No
BK,Bank of New York Mellon,Capital Markets,52.52B,No
BKI,Black Knight,IT Services,11.62B,No
BKNG,Booking Holdings,Internet & Direct Marketing Retail,100.64B,No
BKR,Baker Hughes Company,Energy Equipment & Services,23.89B,No
BLDR,Builders FirstSource,Building Products,15.07B,No
BLK,BlackRock,Capital Markets,128.92B,No
BLL,Ball Corporation,Containers & Packaging,29.34B,No
BMO,Bank of Montreal,Banks,76.78B,No
BMRN,BioMarin Pharmaceutical,Biotechnology,16.56B,No
BMY,Bristol-Myers Squibb Company,Pharmaceuticals,144.12B,No
